street_name,date,total_vol_l3,total_weight_kg
canongate,2016-06-29,237.80769500000002,16.646539
canongate,2016-06-30,888.998321,62.229881
canongate,2016-07-01,939.548809,65.768417
canongate,2016-07-03,1102.047124,77.143299
canongate,2016-07-04,401.865004,28.130551
canongate,2016-07-05,139.931822,9.795228
canongate,2016-07-06,932.084313,65.245901
canongate,2016-07-07,46.662335,3.266363
canongate,2016-07-08,157.093835,10.996568
canongate,2016-07-09,678.952977,47.526709
canongate,2016-07-11,795.112076,55.657844000000004
canongate,2016-07-12,296.680348,20.767623999999998
canongate,2016-07-13,463.332809,32.433296
canongate,2016-07-14,1057.140401,73.999828
canongate,2016-07-15,94.077567,6.58543
canongate,2016-07-16,869.483388,60.863837
canongate,2016-07-18,1099.267051,76.948693
canongate,2016-07-19,275.74933,19.302453
canongate,2016-07-20,708.172541,49.572078
canongate,2016-07-21,521.880174,36.531612
canongate,2016-07-22,310.045678,21.703198
canongate,2016-07-23,536.534381,37.557406
canongate,2016-07-24,552.721686,38.690519
canongate,2016-07-25,340.586943,23.841086
canongate,2016-07-26,581.486171,40.704031
canongate,2016-07-27,651.10421,45.577294
canongate,2016-07-28,616.599311,43.161952
canongate,2016-07-29,99.91,6.9937
canongate,2016-07-30,1120.736602,78.451563
canongate,2016-07-31,548.916695,38.424169
canongate,2016-08-01,735.11784,51.458248
canongate,2016-08-02,525.477442,36.783421
canongate,2016-08-03,594.5943589999999,41.621605
canongate,2016-08-04,263.165077,18.421555
canongate,2016-08-05,209.777528,14.684428
canongate,2016-08-07,1386.067252,97.024708
canongate,2016-08-08,741.69596,51.918718
canongate,2016-08-09,536.583212,37.560826
castle street,2016-06-04,1549.811752,108.486824
castle street,2016-06-06,377.713968,26.439978
castle street,2016-06-07,689.048144,48.233371
castle street,2016-06-08,898.0345990000001,62.862422
castle street,2016-06-09,506.584434,35.46091
castle street,2016-06-12,951.946159,66.63623100000001
castle street,2016-06-13,452.761117,31.693278
castle street,2016-06-14,682.181319,47.752693
castle street,2016-06-15,221.168289,15.48178
castle street,2016-06-16,240,16.8
castle street,2016-06-17,421.66856900000005,29.5168
castle street,2016-06-18,685.564938,47.989546
castle street,2016-06-20,911.7400190000001,63.821802000000005
castle street,2016-06-21,481.820769,33.727454
castle street,2016-06-22,668.060099,46.764207999999996
castle street,2016-06-23,218.943287,15.32603
castle street,2016-06-24,804.2982079999999,56.300874
castle street,2016-06-27,952.928541,66.70499699999999
castle street,2016-06-28,324.01471100000003,22.68103
castle street,2016-06-29,428.392608,29.987483
castle street,2016-06-30,219.2667,15.348669
castle street,2016-07-01,807.802222,56.546155
castle street,2016-07-02,489.871938,34.291036
castle street,2016-07-03,926.48983,64.854288
castle street,2016-07-04,535.6132,37.492924
castle street,2016-07-05,819.5957980000001,57.371706
castle street,2016-07-07,362.549946,25.378496
castle street,2016-07-08,858.243999,60.077079
castle street,2016-07-09,682.6643270000001,47.786502999999996
castle street,2016-07-10,860.6954519999999,60.248681000000005
castle street,2016-07-12,697.708445,48.839591
castle street,2016-07-13,405.035146,28.35246
castle street,2016-07-14,621.0478009999999,43.473346
castle street,2016-07-15,783.51479,54.846035
castle street,2016-07-16,605.12858,42.359
castle street,2016-07-17,704.192323,49.293463
castle street,2016-07-18,478.880648,33.521645
castle street,2016-07-19,468.08507199999997,32.765955
castle street,2016-07-20,868.167319,60.771711999999994
castle street,2016-07-21,217.927254,15.254908
castle street,2016-07-22,896.566319,62.759642
castle street,2016-07-23,879.321151,61.552481
castle street,2016-07-24,721.5044399999999,50.505311
castle street,2016-07-26,851.01472,59.571031000000005
castle street,2016-07-27,411.55535299999997,28.808875
castle street,2016-07-28,718.359829,50.285189
castle street,2016-07-30,959.426387,67.159847
castle street,2016-07-31,701.5047,49.105329
castle street,2016-08-01,526.7207599999999,36.870454
castle street,2016-08-02,376.418095,26.349266999999998
castle street,2016-08-03,865.7054049999999,60.599378
castle street,2016-08-04,585.638227,40.994676
castle street,2016-08-05,813.108579,56.917601
castle street,2016-08-06,916.150698,64.130549
castle street,2016-08-07,612.862441,42.900371
castle street,2016-08-08,837.509682,58.625678
castle street,2016-08-09,558.042608,39.062983
castlehill,2016-06-04,480,33.6
castlehill,2016-06-05,534.104484,37.387314
castlehill,2016-06-06,198.252323,13.877663
castlehill,2016-06-09,636.404567,44.548320000000004
castlehill,2016-06-12,476.511093,33.355777
castlehill,2016-06-14,694.7988049999999,48.635917
castlehill,2016-06-17,448.243012,31.377011
castlehill,2016-06-18,185.883841,13.011869
castlehill,2016-06-19,479.603234,33.572226
castlehill,2016-06-22,446.283531,31.239847
castlehill,2016-06-23,369.746683,25.882268
castlehill,2016-06-25,479.272057,33.549044
castlehill,2016-06-26,360.364518,25.225516
castlehill,2016-06-28,480,33.6
castlehill,2016-06-29,298.621374,20.903496
castlehill,2016-06-30,581.406061,40.698424
castlehill,2016-07-02,273.6,19.152
castlehill,2016-07-03,380.42296700000003,26.629608
castlehill,2016-07-04,459.1951,32.143657
castlehill,2016-07-05,391.354135,27.394789
castlehill,2016-07-06,297.360565,20.81524
castlehill,2016-07-07,278.366471,19.485653
castlehill,2016-07-08,478.471014,33.492971
castlehill,2016-07-10,903.4828660000001,63.243801000000005
castlehill,2016-07-12,315.99985,22.11999
castlehill,2016-07-13,460.904055,32.263284
castlehill,2016-07-14,397.438466,27.820693
castlehill,2016-07-15,461.402464,32.298172
castlehill,2016-07-16,402.841497,28.198905
castlehill,2016-07-17,367.361511,25.715306000000002
castlehill,2016-07-18,405.155039,28.360853
castlehill,2016-07-19,389.036523,27.232557
castlehill,2016-07-20,460.203525,32.214247
castlehill,2016-07-22,480,33.6
castlehill,2016-07-23,479.930522,33.595137
castlehill,2016-07-24,458.412232,32.088856
castlehill,2016-07-25,472.03658,33.042561
castlehill,2016-07-26,475.140188,33.259813
castlehill,2016-07-27,478.874205,33.521194
castlehill,2016-07-29,480,33.6
castlehill,2016-07-30,920.65273,64.445691
castlehill,2016-08-01,439.183595,30.742852
cathedral lane,2016-06-05,454.077546,31.785429
cathedral lane,2016-06-06,92.386898,6.467083
cathedral lane,2016-06-09,104.222608,7.295583
cathedral lane,2016-06-11,456.769888,31.973893
cathedral lane,2016-06-12,233.771139,16.36398
cathedral lane,2016-06-14,312.089943,21.846296000000002
cathedral lane,2016-06-15,124.79561100000001,8.735693000000001
cathedral lane,2016-06-17,227.01934699999998,15.891354
cathedral lane,2016-06-18,139.90549399999998,9.793385
cathedral lane,2016-06-19,204.75857000000002,14.333099
cathedral lane,2016-06-20,94.931883,6.645232
cathedral lane,2016-06-21,214.349922,15.004494999999999
cathedral lane,2016-06-22,441.18757600000004,30.883129999999998
cathedral lane,2016-06-23,356.888335,24.982183
cathedral lane,2016-06-25,455.888643,31.912205
cathedral lane,2016-06-26,189.955851,13.296909
cathedral lane,2016-06-27,113.302746,7.931192
cathedral lane,2016-06-28,350.28242,24.51977
cathedral lane,2016-07-02,360,25.200000000000003
cathedral lane,2016-07-03,257.398139,18.017871
cathedral lane,2016-07-06,317.35607,22.214925
cathedral lane,2016-07-08,416.623088,29.163615
cathedral lane,2016-07-09,180.525088,12.636756
cathedral lane,2016-07-10,275.003959,19.250277
cathedral lane,2016-07-11,166.374558,11.646219
cathedral lane,2016-07-12,260.448994,18.23143
cathedral lane,2016-07-14,337.68701,23.638091000000003
cathedral lane,2016-07-16,445.033091,31.152317
cathedral lane,2016-07-18,336.682295,23.567760999999997
cathedral lane,2016-07-19,190.04291800000001,13.303004000000001
cathedral lane,2016-07-20,328.608506,23.002596
cathedral lane,2016-07-21,263.822713,18.46759
cathedral lane,2016-07-22,290.737208,20.351605
cathedral lane,2016-07-23,282.27514199999996,19.75926
cathedral lane,2016-07-24,356.865747,24.980602
cathedral lane,2016-07-25,111.928391,7.834987
cathedral lane,2016-07-27,240,16.8
cathedral lane,2016-07-28,427.541082,29.927875999999998
cathedral lane,2016-07-29,107.709032,7.539632
cathedral lane,2016-07-30,336.430197,23.550114
cathedral lane,2016-07-31,242.036964,16.942587
cathedral lane,2016-08-01,329.28956400000004,23.050269
cathedral lane,2016-08-02,280.93549,19.665484
cathedral lane,2016-08-03,54.12,3.7884
cathedral lane,2016-08-04,431.736272,30.221538000000002
cathedral lane,2016-08-06,338.977378,23.728417
cathedral lane,2016-08-07,436.687233,30.568106
cathedral lane,2016-08-08,392.074063,27.445183999999998
cathedral lane,2016-08-09,271.272253,18.989057
chambers street,2016-06-03,161.948758,11.336413
chambers street,2016-06-04,689.176553,48.242359
chambers street,2016-06-06,232.45524700000001,16.271867
chambers street,2016-06-10,947.201744,66.304122
chambers street,2016-06-11,240,16.8
chambers street,2016-06-13,170.334521,11.923416
chambers street,2016-06-14,182.788714,12.79521
chambers street,2016-06-15,206.104704,14.427329
chambers street,2016-06-16,404.365999,28.30562
chambers street,2016-06-18,600.115996,42.008119
chambers street,2016-06-22,199.403645,13.958255
chambers street,2016-06-23,240,16.8
chambers street,2016-06-24,229.487602,16.064132
chambers street,2016-06-25,461.07283,32.275098
chambers street,2016-06-26,456.068221,31.924776
chambers street,2016-06-28,192.504138,13.47529
chambers street,2016-06-29,443.873683,31.071158000000004
chambers street,2016-07-01,393.29505500000005,27.530654
chambers street,2016-07-04,476.130317,33.329122
chambers street,2016-07-06,716.779566,50.174569
chambers street,2016-07-08,934.844859,65.43914099999999
chambers street,2016-07-09,533.586962,37.351088
chambers street,2016-07-10,238.510458,16.695732
chambers street,2016-07-11,239.740255,16.781818
chambers street,2016-07-12,888.470767,62.192954
chambers street,2016-07-14,459.770757,32.183953
chambers street,2016-07-15,778.63653,54.504557
chambers street,2016-07-16,884.851617,61.939614
chambers street,2016-07-18,466.416488,32.649155
chambers street,2016-07-19,226.07333,15.825133
chambers street,2016-07-20,418.379942,29.286596
chambers street,2016-07-21,882.897785,61.802845000000005
chambers street,2016-07-22,214.885917,15.042014
chambers street,2016-07-23,708.980802,49.628656
chambers street,2016-07-24,353.029382,24.712057
chambers street,2016-07-25,239.735399,16.781478
chambers street,2016-07-27,439.890095,30.792307
chambers street,2016-07-28,237.838518,16.648696
chambers street,2016-07-29,1181.971857,82.738029
chambers street,2016-07-30,165.139468,11.559763
chambers street,2016-07-31,593.347774,41.534343
chambers street,2016-08-01,657.754184,46.042793
chambers street,2016-08-02,669.79573,46.885701
chambers street,2016-08-03,447.56593699999996,31.329615
chambers street,2016-08-05,904.653863,63.32577
chambers street,2016-08-06,672.027422,47.041919
chambers street,2016-08-07,1098.381893,76.886732
chambers street,2016-08-08,857.790193,60.045314
chambers street,2016-08-09,737.972365,51.658065
charlotte square,2016-06-04,465.249302,32.567451
charlotte square,2016-06-06,132.507744,9.275542
charlotte square,2016-06-07,238.087972,16.666158
charlotte square,2016-06-09,233.627857,16.35395
charlotte square,2016-06-12,187.20369,13.104258
charlotte square,2016-06-14,170.643386,11.945037
charlotte square,2016-06-15,96.939565,6.78577
charlotte square,2016-06-18,228.406758,15.988473
charlotte square,2016-06-22,240,16.8
charlotte square,2016-06-25,240,16.8
charlotte square,2016-06-28,239.913785,16.793965
charlotte square,2016-06-30,238.714567,16.71002
charlotte square,2016-07-02,227.706688,15.939468
charlotte square,2016-07-04,161.969337,11.337854
charlotte square,2016-07-05,182.499263,12.774948
charlotte square,2016-07-06,161.526313,11.306842
charlotte square,2016-07-09,223.88202,15.671741
charlotte square,2016-07-12,230.201134,16.114079
charlotte square,2016-07-14,237.713659,16.639956
charlotte square,2016-07-17,240,16.8
charlotte square,2016-07-19,225.81133,15.806793
charlotte square,2016-07-21,197.158697,13.801109
charlotte square,2016-07-22,184.056471,12.883953
charlotte square,2016-07-23,149.917029,10.494192
charlotte square,2016-07-26,227.700024,15.939002
charlotte square,2016-07-30,239.45669,16.761968
charlotte square,2016-07-31,123.004857,8.61034
charlotte square,2016-08-01,166.442941,11.651006
charlotte square,2016-08-04,213.447904,14.941353
charlotte square,2016-08-06,216.882909,15.181804
charlotte square,2016-08-07,166.896582,11.682761
charlotte square,2016-08-09,138.524532,9.696717
clifton terrace,2016-06-03,478.612596,33.502882
clifton terrace,2016-06-04,448.494532,31.394616999999997
clifton terrace,2016-06-06,440.416917,30.829183999999998
clifton terrace,2016-06-07,492.821047,34.497474
clifton terrace,2016-06-09,457.33041000000003,32.013129
clifton terrace,2016-06-11,563.240768,39.426854000000006
clifton terrace,2016-06-13,229.061883,16.034332
clifton terrace,2016-06-14,566.604693,39.662329
clifton terrace,2016-06-17,710.167346,49.711714
clifton terrace,2016-06-20,943.407762,66.038544
clifton terrace,2016-06-21,181.818542,12.727298
clifton terrace,2016-06-22,373.131354,26.119195
clifton terrace,2016-06-23,206.880142,14.48161
clifton terrace,2016-06-24,222.648185,15.585373
clifton terrace,2016-06-25,662.832837,46.398299
clifton terrace,2016-06-27,711.635293,49.81447
clifton terrace,2016-06-29,441.538008,30.907660999999997
